compound_id,source,smiles,seed,best_affinity_kcal_mol
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2000,-9.876
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2001,-9.9
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2002,-9.869
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2000,-8.667
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2001,-8.65
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2002,-8.633
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2000,-8.383
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2001,-8.383
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2002,-8.42
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2000,-7.595
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2001,-7.601
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2002,-8.133
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2000,-8.743
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2001,-8.746
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2002,-8.708
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-6.775
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-6.771
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-6.769
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.805
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-7.801
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-7.805
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.575
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2001,-8.572
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2002,-8.566
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.557
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2001,-8.582
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2002,-8.586
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.815
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-7.808
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-7.808
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.918
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-7.933
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-7.911
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.889
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-7.918
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-7.909
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-7.929
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2001,-7.893
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2002,-7.946
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.711
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2001,-8.7
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2002,-8.671
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.255
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.218
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.263
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.444
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2001,-8.472
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2002,-8.47
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.009
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2001,-7.967
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2002,-7.996
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.608
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.589
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.6
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2000,-8.096
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2001,-8.077
