compound_id,source,smiles,seed,best_affinity_kcal_mol_9l40
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2000,-9.853
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2000,-8.716
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2000,-8.417
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2000,-8.3
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2000,-8.297
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.883
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.627
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.506
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.501
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.706
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.96
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.803
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-7.821
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.498
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.147
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.413
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.045
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.598
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2000,-8.134
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-7.869
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.389
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.644
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.556
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.055
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.762
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.007
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-7.792
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.67
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.388
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.222
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2000,-8.39
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-7.919
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.136
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.762
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.531
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.323
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.355
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.037
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.738
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.317
