smiles,compound_id,source
CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,seed_berzosertib_VE822,seed
C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,seed_camonsertib_RP3500,seed
C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,seed_CHK1_inhibitor_YM8,seed
COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,seed_prexasertib,seed
C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,seed_ceralasertib,seed
CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,deriv_000,derivative
COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,deriv_001,derivative
CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,deriv_002,derivative
COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,deriv_003,derivative
CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,deriv_004,derivative
CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,deriv_005,derivative
COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,deriv_006,derivative
CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,deriv_007,derivative
CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,deriv_008,derivative
CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,deriv_009,derivative
CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,deriv_010,derivative
CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,deriv_011,derivative
CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,deriv_012,derivative
CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,deriv_013,derivative
CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,deriv_014,derivative
CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,deriv_015,derivative
CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,deriv_016,derivative
COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,deriv_017,derivative
COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,deriv_018,derivative
CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,deriv_019,derivative
CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,deriv_020,derivative
CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,deriv_021,derivative
CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,deriv_022,derivative
CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,deriv_023,derivative
CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,deriv_024,derivative
CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,deriv_025,derivative
CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,deriv_026,derivative
CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,deriv_027,derivative
CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,deriv_028,derivative
CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,deriv_029,derivative
CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,deriv_030,derivative
COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,deriv_031,derivative
COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,deriv_032,derivative
COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,deriv_033,derivative
COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,deriv_034,derivative
