compound_id,source,smiles,affinity_mean_9l40,affinity_std,affinity_best_9l40,affinity_best_9l4b,affinity_mean_9l4b,rank_9l40,rank_9l4b,rank_shift
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,-9.881666666666666,0.0162583311976764,-9.9,-8.991,-8.944333333333333,1.0,8.0,7.0
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,-8.732333333333335,0.0211266025033209,-8.746,-9.398,-9.385,2.0,3.0,1.0
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,-8.694,0.020663978319773,-8.711,-8.534,-8.508666666666668,3.0,26.0,23.0
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,-8.65,0.0170000000000005,-8.667,-9.796,-9.784333333333333,4.0,1.0,3.0
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,-8.610666666666667,0.0020816659994653,-8.613,-8.299,-8.290333333333335,5.0,34.0,29.0
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,-8.599,0.0095393920141698,-8.608,-8.594,-8.584999999999999,6.0,22.0,16.0
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,-8.575000000000001,0.015716233645501,-8.586,-9.344,-9.329333333333333,7.0,4.0,3.0
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,-8.571,0.004582575694955,-8.575,-9.468,-9.461,8.0,2.0,6.0
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,-8.228,0.50583890716314,-8.529,-8.695,-8.69,9.0,19.0,10.0
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,-8.462000000000002,0.0156204993518129,-8.472,-7.915,-7.906,10.0,39.0,29.0
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.436666666666667,0.0189032625050109,-8.458,-8.718,-8.677,11.0,18.0,7.0
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,-8.413333333333332,0.0185562208796216,-8.431,-9.286,-9.254333333333332,12.0,5.0,7.0
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,-8.395333333333333,0.0213619599600163,-8.42,-8.564,-8.562333333333333,13.0,24.0,11.0
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,-8.408,0.0036055512754637,-8.411,-7.962,-7.954666666666667,14.0,38.0,24.0
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.300666666666666,0.0447474394053259,-8.327,-8.817,-8.794666666666666,15.0,12.0,3.0
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,-8.287333333333335,0.01890326250501,-8.302,-8.735,-8.720333333333334,16.0,16.0,0.0
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.286,0.0180277563773196,-8.301,-8.744,-8.732666666666667,17.0,15.0,2.0
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.245333333333333,0.0240069434400412,-8.263,-8.726,-8.692,18.0,17.0,1.0
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,-8.241333333333333,0.0098657657246324,-8.248,-8.027,-8.021666666666667,19.0,36.0,17.0
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,-8.215666666666666,0.0150443787951965,-8.23,-7.822,-7.816333333333334,20.0,40.0,20.0
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,-7.776333333333333,0.3088969623245479,-8.133,-7.963,-7.951,21.0,37.0,16.0
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,-8.081333333333333,0.0130511813003019,-8.096,-8.521,-8.509333333333332,22.0,28.0,6.0
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-8.072666666666667,0.0179536440126599,-8.093,-8.944,-8.942,23.0,10.0,13.0
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-8.021666666666667,0.0180092568789872,-8.034,-8.357,-8.266333333333334,24.0,31.0,7.0
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,-7.990666666666667,0.0215019378971603,-8.009,-8.343,-8.334999999999999,25.0,32.0,7.0
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,-7.922666666666667,0.0270616579930597,-7.946,-8.584,-8.549333333333333,26.0,23.0,3.0
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-7.920666666666666,0.0112398102000583,-7.933,-8.799,-8.773666666666665,27.0,13.0,14.0
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-7.905333333333334,0.0148436293854748,-7.918,-8.541,-8.534666666666666,28.0,25.0,3.0
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-7.82,0.010535653752853,-7.831,-9.153,-9.055,29.0,6.0,23.0
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-7.810333333333333,0.0040414518843279,-7.815,-8.303,-8.297333333333334,30.0,33.0,3.0
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-7.803666666666667,0.0023094010767582,-7.805,-8.672,-8.669333333333332,31.0,20.0,11.0
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,-7.751333333333332,0.0172143351115674,-7.771,-9.097,-9.083666666666666,32.0,7.0,25.0
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,-7.727333333333334,0.0381750354725878,-7.756,-8.757,-8.727333333333334,33.0,14.0,19.0
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,-7.712666666666666,0.0247049252849165,-7.739,-8.984,-8.963666666666667,34.0,9.0,25.0
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,-7.676666666666667,0.046457866215888,-7.73,-8.932,-8.868,35.0,11.0,24.0
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,-7.716,0.0034641016151378,-7.718,-8.197,-8.182666666666668,36.0,35.0,1.0
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,-7.642,0.0112694276695845,-7.655,-8.383,-8.370333333333333,37.0,29.0,8.0
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,-7.543333333333333,0.0041633319989322,-7.548,-8.527,-8.061333333333332,38.0,27.0,11.0
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,-7.507666666666666,0.0132790561913613,-7.523,-8.371,-8.345333333333334,39.0,30.0,9.0
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,-6.771666666666667,0.0030550504633037,-6.775,-8.658,-8.645,40.0,21.0,19.0
