compound_id,source,smiles,seed,affinity_9l40,affinity_9l4b_best,affinity_9l4b_mean,rank_9l40,rank_9l4b,rank_shift
seed_berzosertib_VE822,seed,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2000,-9.853,-8.991,-8.944333333333333,1.0,8.0,7.0
seed_camonsertib_RP3500,seed,C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,2000,-8.716,-9.796,-9.784333333333333,3.0,1.0,2.0
seed_CHK1_inhibitor_YM8,seed,C[C@H](CN(C)C)OC1=N/C(=N\C2=NCc3c(Cl)cccc3C2)C=N[C@H]1C#N,2000,-8.417,-8.564,-8.562333333333333,10.0,24.0,14.0
seed_prexasertib,seed,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,2000,-8.3,-7.963,-7.951,16.0,37.0,21.0
seed_ceralasertib,seed,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,2000,-8.297,-9.398,-9.385,17.0,3.0,14.0
deriv_000,derivative,CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.883,-8.658,-8.645,28.0,21.0,7.0
deriv_001,derivative,COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.627,-8.672,-8.669333333333332,37.0,20.0,17.0
deriv_002,derivative,CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.506,-9.468,-9.461,7.0,2.0,5.0
deriv_003,derivative,COc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.501,-9.344,-9.329333333333333,8.0,4.0,4.0
deriv_004,derivative,CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.706,-8.303,-8.297333333333334,35.0,33.0,2.0
deriv_005,derivative,CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.96,-8.799,-8.773666666666665,26.0,13.0,13.0
deriv_006,derivative,COCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-7.803,-8.541,-8.534666666666666,31.0,25.0,6.0
deriv_007,derivative,CNc1cccc(NC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-7.821,-8.584,-8.549333333333333,30.0,23.0,7.0
deriv_008,derivative,CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.498,-8.534,-8.508666666666668,9.0,26.0,17.0
deriv_009,derivative,CNc1cccc(NC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.147,-8.726,-8.692,19.0,17.0,2.0
deriv_010,derivative,CNc1cccc(NC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.413,-7.915,-7.906,11.0,39.0,28.0
deriv_011,derivative,CNc1cccc(OC)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-8.045,-8.343,-8.334999999999999,23.0,32.0,9.0
deriv_012,derivative,CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.598,-8.594,-8.584999999999999,5.0,22.0,17.0
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2000,-8.134,-8.521,-8.509333333333332,21.0,28.0,7.0
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-7.869,-8.744,-8.732666666666667,29.0,15.0,14.0
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.389,-7.962,-7.954666666666667,13.0,38.0,25.0
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.644,-8.695,-8.69,4.0,19.0,15.0
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.556,-8.299,-8.290333333333335,6.0,34.0,28.0
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.055,-8.757,-8.727333333333334,22.0,14.0,8.0
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.762,-9.286,-9.254333333333332,2.0,5.0,3.0
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.007,-8.357,-8.266333333333334,25.0,31.0,6.0
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-7.792,-8.197,-8.182666666666668,32.0,35.0,3.0
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.67,-9.097,-9.083666666666666,36.0,7.0,29.0
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.388,-8.371,-8.345333333333334,39.0,30.0,9.0
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.222,-7.822,-7.816333333333334,18.0,40.0,22.0
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2000,-8.39,-8.735,-8.720333333333334,12.0,16.0,4.0
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-7.919,-8.944,-8.942,27.0,10.0,17.0
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.136,-8.027,-8.021666666666667,20.0,36.0,16.0
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.762,-8.932,-8.868,33.0,11.0,22.0
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.531,-8.527,-8.061333333333332,38.0,27.0,11.0
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.323,-8.817,-8.794666666666666,15.0,12.0,3.0
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.355,-8.718,-8.677,14.0,18.0,4.0
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.037,-9.153,-9.055,24.0,6.0,18.0
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.738,-8.984,-8.963666666666667,34.0,9.0,25.0
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.317,-8.383,-8.370333333333333,40.0,29.0,11.0
